point_time,value
2026-07-19 01:25:00+00:00,991.2
2026-07-19 01:30:00+00:00,0.0
2026-07-19 01:35:00+00:00,991.7
2026-07-19 01:40:00+00:00,989.4
2026-07-19 01:45:00+00:00,991.6
2026-07-19 01:50:00+00:00,997.8
2026-07-19 01:55:00+00:00,997.9
2026-07-19 02:00:00+00:00,1000.4
2026-07-19 02:05:00+00:00,977.8
2026-07-19 02:10:00+00:00,1001.7
2026-07-19 02:15:00+00:00,1016.3
2026-07-19 02:20:00+00:00,1010.5
2026-07-19 02:25:00+00:00,1004.2
2026-07-19 02:30:00+00:00,1010.2
2026-07-19 02:35:00+00:00,1002.2
2026-07-19 02:40:00+00:00,1014.4
2026-07-19 02:45:00+00:00,991.2
2026-07-19 02:50:00+00:00,1015.6
2026-07-19 02:55:00+00:00,1016.3
2026-07-19 03:00:00+00:00,1001.9
2026-07-19 03:05:00+00:00,998.4
2026-07-19 03:10:00+00:00,1000.9
2026-07-19 03:15:00+00:00,990.7
2026-07-19 03:20:00+00:00,983.8
2026-07-19 03:25:00+00:00,987.1
2026-07-19 03:30:00+00:00,982.1
2026-07-19 03:35:00+00:00,979.8
2026-07-19 03:40:00+00:00,981.1
2026-07-19 03:45:00+00:00,983.2
2026-07-19 03:50:00+00:00,932.8
2026-07-19 03:55:00+00:00,917.4
2026-07-19 04:00:00+00:00,995.7
2026-07-19 04:05:00+00:00,997.8
2026-07-19 04:10:00+00:00,1001.0
2026-07-19 04:15:00+00:00,995.7
2026-07-19 04:20:00+00:00,1008.9
2026-07-19 04:25:00+00:00,1022.3
2026-07-19 04:30:00+00:00,993.8
2026-07-19 04:35:00+00:00,1011.5
2026-07-19 04:40:00+00:00,966.7
2026-07-19 04:45:00+00:00,1016.7
2026-07-19 04:50:00+00:00,989.8
2026-07-19 04:55:00+00:00,991.4
2026-07-19 05:00:00+00:00,986.4
2026-07-19 05:05:00+00:00,1006.8
2026-07-19 05:10:00+00:00,1005.4
2026-07-19 05:15:00+00:00,980.9
2026-07-19 05:20:00+00:00,981.5
2026-07-19 05:25:00+00:00,1010.6
2026-07-19 05:30:00+00:00,1001.1
2026-07-19 05:35:00+00:00,1002.8
2026-07-19 05:40:00+00:00,1000.7
2026-07-19 05:45:00+00:00,979.2
2026-07-19 05:50:00+00:00,742.9
2026-07-19 05:55:00+00:00,979.8
2026-07-19 06:00:00+00:00,981.8
2026-07-19 06:05:00+00:00,985.4
2026-07-19 06:10:00+00:00,977.8
2026-07-19 06:15:00+00:00,974.2
2026-07-19 06:20:00+00:00,966.6
2026-07-19 06:25:00+00:00,965.2
2026-07-19 06:30:00+00:00,975.3
2026-07-19 06:35:00+00:00,973.8
2026-07-19 06:40:00+00:00,974.9
2026-07-19 06:45:00+00:00,995.0
2026-07-19 06:50:00+00:00,973.6
2026-07-19 06:55:00+00:00,974.1
2026-07-19 07:00:00+00:00,973.3
2026-07-19 07:05:00+00:00,973.3
2026-07-19 07:10:00+00:00,972.6
2026-07-19 07:15:00+00:00,969.6
2026-07-19 07:20:00+00:00,1001.7
2026-07-19 07:25:00+00:00,1001.4
2026-07-19 07:30:00+00:00,993.6
2026-07-19 07:35:00+00:00,1003.1
2026-07-19 07:40:00+00:00,1000.1
2026-07-19 07:45:00+00:00,1006.0
2026-07-19 07:50:00+00:00,991.8
2026-07-19 07:55:00+00:00,991.6
2026-07-19 08:00:00+00:00,1023.3
2026-07-19 08:05:00+00:00,1023.4
2026-07-19 08:10:00+00:00,1013.1
2026-07-19 08:15:00+00:00,1015.9
2026-07-19 08:20:00+00:00,1009.6
2026-07-19 08:25:00+00:00,1008.5
2026-07-19 08:30:00+00:00,1007.4
2026-07-19 08:35:00+00:00,1007.0
2026-07-19 08:40:00+00:00,1008.4
2026-07-19 08:45:00+00:00,1009.6
2026-07-19 08:50:00+00:00,1001.4
2026-07-19 08:55:00+00:00,1001.4
2026-07-19 09:00:00+00:00,1003.6
2026-07-19 09:05:00+00:00,1004.7
2026-07-19 09:10:00+00:00,1003.0
2026-07-19 09:15:00+00:00,1001.2
2026-07-19 09:20:00+00:00,1001.3
2026-07-19 09:25:00+00:00,1003.0
2026-07-19 09:30:00+00:00,1003.1
2026-07-19 09:35:00+00:00,1004.8
2026-07-19 09:40:00+00:00,1006.8
2026-07-19 09:45:00+00:00,1009.4
2026-07-19 09:50:00+00:00,1017.8
2026-07-19 09:55:00+00:00,1016.0
2026-07-19 10:00:00+00:00,1009.0
2026-07-19 10:05:00+00:00,1008.1
2026-07-19 10:10:00+00:00,1004.4
2026-07-19 10:15:00+00:00,1005.4
2026-07-19 10:20:00+00:00,967.5
2026-07-19 10:25:00+00:00,967.5
2026-07-19 10:30:00+00:00,991.7
2026-07-19 10:35:00+00:00,991.2
2026-07-19 10:40:00+00:00,993.9
2026-07-19 10:45:00+00:00,996.4
2026-07-19 10:50:00+00:00,999.8
2026-07-19 10:55:00+00:00,999.3
2026-07-19 11:00:00+00:00,999.7
2026-07-19 11:05:00+00:00,1002.2
2026-07-19 11:10:00+00:00,1036.6
2026-07-19 11:15:00+00:00,1038.4
2026-07-19 11:20:00+00:00,1039.5
2026-07-19 11:25:00+00:00,1044.5
2026-07-19 11:30:00+00:00,1029.2
2026-07-19 11:35:00+00:00,1033.9
2026-07-19 11:40:00+00:00,1023.4
2026-07-19 11:45:00+00:00,1024.6
2026-07-19 11:50:00+00:00,1045.3
2026-07-19 11:55:00+00:00,1048.9
2026-07-19 12:00:00+00:00,1061.2
2026-07-19 12:05:00+00:00,1061.6
2026-07-19 12:10:00+00:00,1068.7
2026-07-19 12:15:00+00:00,1067.1
2026-07-19 12:20:00+00:00,1066.1
2026-07-19 12:25:00+00:00,1067.1
2026-07-19 12:30:00+00:00,1072.0
2026-07-19 12:35:00+00:00,1070.6
2026-07-19 12:40:00+00:00,1058.2
2026-07-19 12:45:00+00:00,1057.1
2026-07-19 12:50:00+00:00,1065.0
2026-07-19 12:55:00+00:00,1063.3
2026-07-19 13:00:00+00:00,1060.5
2026-07-19 13:05:00+00:00,1060.0
2026-07-19 13:10:00+00:00,1057.8
2026-07-19 13:15:00+00:00,1056.9
2026-07-19 13:20:00+00:00,1053.2
2026-07-19 13:25:00+00:00,1054.4
2026-07-19 13:30:00+00:00,1051.7
2026-07-19 13:35:00+00:00,1050.9
2026-07-19 13:40:00+00:00,1055.4
2026-07-19 13:45:00+00:00,1060.5
2026-07-19 13:50:00+00:00,1054.2
2026-07-19 13:55:00+00:00,1054.8
2026-07-19 14:00:00+00:00,1021.8
2026-07-19 14:05:00+00:00,1024.2
2026-07-19 14:10:00+00:00,1009.5
2026-07-19 14:15:00+00:00,1002.6
2026-07-19 14:20:00+00:00,1004.3
2026-07-19 14:25:00+00:00,999.4
2026-07-19 14:30:00+00:00,1003.3
2026-07-19 14:35:00+00:00,1008.1
2026-07-19 14:40:00+00:00,997.3
2026-07-19 14:45:00+00:00,995.1
2026-07-19 14:50:00+00:00,1019.6
2026-07-19 14:55:00+00:00,975.7
2026-07-19 15:00:00+00:00,994.3
2026-07-19 15:05:00+00:00,997.6
2026-07-19 15:10:00+00:00,1005.9
2026-07-19 15:15:00+00:00,1008.1
2026-07-19 15:20:00+00:00,1020.2
2026-07-19 15:25:00+00:00,1010.7
2026-07-19 15:30:00+00:00,1002.6
2026-07-19 15:35:00+00:00,1028.8
2026-07-19 15:40:00+00:00,1001.1
2026-07-19 15:45:00+00:00,984.4
2026-07-19 15:50:00+00:00,1004.2
2026-07-19 15:55:00+00:00,990.1
2026-07-19 16:00:00+00:00,1023.3
2026-07-19 16:05:00+00:00,1023.1
2026-07-19 16:10:00+00:00,1026.8
2026-07-19 16:15:00+00:00,1008.0
2026-07-19 16:20:00+00:00,1027.0
2026-07-19 16:25:00+00:00,1027.3
2026-07-19 16:30:00+00:00,1043.3
2026-07-19 16:35:00+00:00,1031.6
2026-07-19 16:40:00+00:00,1018.8
2026-07-19 16:45:00+00:00,1009.0
2026-07-19 16:50:00+00:00,1021.3
2026-07-19 16:55:00+00:00,1006.9
2026-07-19 17:00:00+00:00,1004.0
2026-07-19 17:05:00+00:00,1035.0
2026-07-19 17:10:00+00:00,1030.9
2026-07-19 17:15:00+00:00,0.0
2026-07-19 17:20:00+00:00,0.0
2026-07-19 17:25:00+00:00,0.0
2026-07-19 17:30:00+00:00,1033.1
2026-07-19 17:35:00+00:00,1032.7
2026-07-19 17:40:00+00:00,1035.2
2026-07-19 17:45:00+00:00,1027.7
2026-07-19 17:50:00+00:00,1033.5
2026-07-19 17:55:00+00:00,1036.3
2026-07-19 18:00:00+00:00,1033.9
2026-07-19 18:05:00+00:00,1023.3
2026-07-19 18:10:00+00:00,974.3
2026-07-19 18:15:00+00:00,0.0
2026-07-19 18:20:00+00:00,0.0
2026-07-19 18:25:00+00:00,0.0
2026-07-19 18:30:00+00:00,975.1
2026-07-19 18:35:00+00:00,969.7
2026-07-19 18:40:00+00:00,961.3
2026-07-19 18:45:00+00:00,961.5
2026-07-19 18:50:00+00:00,980.4
2026-07-19 18:55:00+00:00,975.7
2026-07-19 19:00:00+00:00,966.4
2026-07-19 19:05:00+00:00,974.9
2026-07-19 19:10:00+00:00,964.7
2026-07-19 19:15:00+00:00,964.3
2026-07-19 19:20:00+00:00,968.7
2026-07-19 19:25:00+00:00,963.6
2026-07-19 19:30:00+00:00,969.1
2026-07-19 19:35:00+00:00,990.5
2026-07-19 19:40:00+00:00,971.9
2026-07-19 19:45:00+00:00,969.7
2026-07-19 19:50:00+00:00,972.4
2026-07-19 19:55:00+00:00,986.9
2026-07-19 20:00:00+00:00,964.1
2026-07-19 20:05:00+00:00,959.7
2026-07-19 20:10:00+00:00,972.8
2026-07-19 20:15:00+00:00,973.3
2026-07-19 20:20:00+00:00,986.3
2026-07-19 20:25:00+00:00,989.4
2026-07-19 20:30:00+00:00,984.0
2026-07-19 20:35:00+00:00,991.1
2026-07-19 20:40:00+00:00,988.5
2026-07-19 20:45:00+00:00,974.5
2026-07-19 20:50:00+00:00,976.8
2026-07-19 20:55:00+00:00,990.9
2026-07-19 21:00:00+00:00,976.5
2026-07-19 21:05:00+00:00,979.8
2026-07-19 21:10:00+00:00,967.4
2026-07-19 21:15:00+00:00,978.3
2026-07-19 21:20:00+00:00,961.0
2026-07-19 21:25:00+00:00,979.8
2026-07-19 21:30:00+00:00,986.8
2026-07-19 21:35:00+00:00,979.8
2026-07-19 21:40:00+00:00,973.1
2026-07-19 21:45:00+00:00,967.8
2026-07-19 21:50:00+00:00,985.1
2026-07-19 21:55:00+00:00,974.5
2026-07-19 22:00:00+00:00,0.0
2026-07-19 22:05:00+00:00,961.9
2026-07-19 22:10:00+00:00,973.4
2026-07-19 22:15:00+00:00,971.1
2026-07-19 22:20:00+00:00,981.8
2026-07-19 22:25:00+00:00,981.0
2026-07-19 22:30:00+00:00,984.3
2026-07-19 22:35:00+00:00,988.9
2026-07-19 22:40:00+00:00,981.0
2026-07-19 22:45:00+00:00,979.2
2026-07-19 22:50:00+00:00,979.3
2026-07-19 22:55:00+00:00,972.2
2026-07-19 23:00:00+00:00,960.9
2026-07-19 23:05:00+00:00,991.5
2026-07-19 23:10:00+00:00,986.6
2026-07-19 23:15:00+00:00,972.8
2026-07-19 23:20:00+00:00,1006.6
2026-07-19 23:25:00+00:00,1006.1
2026-07-19 23:30:00+00:00,1004.9
2026-07-19 23:35:00+00:00,990.7
2026-07-19 23:40:00+00:00,991.2
2026-07-19 23:45:00+00:00,0.0
2026-07-19 23:50:00+00:00,962.2
2026-07-19 23:55:00+00:00,974.8
2026-07-20 00:00:00+00:00,1015.3
2026-07-20 00:05:00+00:00,1010.8
2026-07-20 00:10:00+00:00,984.6
2026-07-20 00:15:00+00:00,985.5
2026-07-20 00:20:00+00:00,981.8
2026-07-20 00:25:00+00:00,988.6
2026-07-20 00:30:00+00:00,0.0
2026-07-20 00:35:00+00:00,0.0
2026-07-20 00:40:00+00:00,0.0
2026-07-20 00:45:00+00:00,927.1
2026-07-20 00:50:00+00:00,935.5
2026-07-20 00:55:00+00:00,949.4
2026-07-20 01:00:00+00:00,936.6
2026-07-20 01:05:00+00:00,932.3
2026-07-20 01:10:00+00:00,920.6
2026-07-20 01:15:00+00:00,920.7
2026-07-20 01:20:00+00:00,902.4
2026-07-20 01:25:00+00:00,904.2
2026-07-20 01:30:00+00:00,937.6
2026-07-20 01:35:00+00:00,948.2
2026-07-20 01:40:00+00:00,971.9
2026-07-20 01:45:00+00:00,968.4
2026-07-20 01:50:00+00:00,949.5
2026-07-20 01:55:00+00:00,950.3
2026-07-20 02:00:00+00:00,958.1
2026-07-20 02:05:00+00:00,955.6
2026-07-20 02:10:00+00:00,953.9
2026-07-20 02:15:00+00:00,951.0
2026-07-20 02:20:00+00:00,922.9
2026-07-20 02:25:00+00:00,922.9
2026-07-20 02:30:00+00:00,923.3
2026-07-20 02:35:00+00:00,923.0
2026-07-20 02:40:00+00:00,904.3
2026-07-20 02:45:00+00:00,904.6
2026-07-20 02:50:00+00:00,923.0
2026-07-20 02:55:00+00:00,924.7
2026-07-20 03:00:00+00:00,951.2
2026-07-20 03:05:00+00:00,911.7
2026-07-20 03:10:00+00:00,911.1
2026-07-20 03:15:00+00:00,911.2
